source,target,weight
10,3,3
19,3,3
22,3,3
38,3,3
43,3,3
44,3,3
19,4,3
22,4,3
29,4,3
36,4,3
38,4,3
43,4,3
44,4,3
48,4,3
52,4,3
60,4,3
10,7,3
13,7,3
19,7,3
43,7,3
44,7,3
62,7,3
3,8,3
4,8,3
7,8,3
19,8,3
43,8,3
48,8,3
52,8,3
53,8,3
13,10,3
19,10,3
36,10,3
43,10,3
53,10,3
54,10,3
60,10,3
4,13,3
19,13,3
22,13,3
43,13,3
44,13,3
62,13,3
4,19,3
13,19,3
22,19,9
29,19,3
31,19,3
32,19,3
43,19,12
48,19,6
52,19,6
60,19,3
62,19,3
19,20,3
21,20,3
29,20,3
34,20,3
36,20,3
43,20,3
48,20,3
54,20,3
19,21,3
36,21,3
38,21,3
43,21,3
48,21,3
49,21,3
53,21,3
64,21,3
19,22,3
32,22,3
38,22,3
43,22,3
53,22,3
60,22,3
62,22,3
13,23,3
19,23,3
22,23,3
43,23,3
44,23,3
53,23,3
62,23,3
13,29,3
19,29,3
21,29,3
38,29,3
43,29,3
48,29,3
49,29,3
63,29,3
7,31,3
8,31,3
13,31,3
19,31,3
43,31,3
45,31,3
48,31,3
19,32,3
20,32,3
22,32,3
29,32,3
31,32,3
43,32,3
19,34,3
21,34,3
36,34,3
43,34,3
48,34,3
53,34,3
19,36,3
32,36,3
38,36,3
42,36,3
43,36,3
48,36,3
52,36,3
54,36,3
19,38,3
20,38,3
21,38,3
29,38,3
43,38,3
48,38,3
53,38,3
64,38,3
3,42,3
19,42,3
22,42,3
36,42,3
43,42,3
44,42,3
53,42,3
19,43,3
21,43,3
34,43,3
36,43,3
38,43,3
48,43,3
53,43,3
60,43,3
62,43,3
64,43,3
13,44,3
19,44,3
29,44,3
36,44,3
43,44,3
53,44,3
63,44,3
8,45,3
19,45,3
32,45,3
43,45,3
48,45,3
52,45,3
53,45,3
62,45,3
13,48,3
19,48,3
36,48,3
42,48,3
43,48,3
53,48,3
19,49,3
21,49,3
34,49,3
43,49,3
48,49,3
53,49,3
7,52,3
10,52,3
19,52,3
31,52,3
43,52,3
48,52,3
61,52,3
13,53,3
19,53,3
31,53,3
43,53,3
48,53,3
52,53,3
60,53,3
61,53,3
3,54,3
19,54,3
21,54,3
29,54,3
32,54,3
38,54,3
43,54,3
48,54,3
52,54,3
60,54,3
62,54,3
19,60,3
43,60,3
48,60,3
53,60,3
62,60,3
8,61,3
19,61,3
43,61,3
48,61,3
53,61,3
63,61,3
13,62,3
19,62,3
36,62,3
43,62,3
52,62,3
13,63,3
19,63,3
23,63,3
43,63,3
48,63,3
53,63,3
62,63,3
64,63,3
19,64,3
20,64,3
21,64,3
23,64,3
29,64,3
32,64,3
36,64,3
43,64,3
48,64,3
60,64,3
62,64,3
