ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
27,5,4.5714,4.6,4.5,5
18,4.5714,4.625,4.5,4.6667,4.8
16,4.6667,4.1667,4.6,5,4.8
29,4.1429,4.375,4.6,4.4,4.6
22,4,4,4.8333,4.4,4.5
20,3.6,4,4.1667,3.75,4.5
1,4.1111,3.4,4,4.2,4.5
24,3.6,4,5,4.4,4.5
26,4,4,4.1667,4.4,4.4
15,4.4286,4,4.4,4.4,4.4
14,4.4286,3.6,3.8571,4.2,4.2
35,4.25,4.4286,4.3333,4.8333,4.2
6,4.2857,3.8,4.3333,4.1667,4
4,3.8571,4,4.3333,4.2,4
17,4.25,3.6,4.2,4.6,4
8,3.9,4.2857,4.3333,4.6,4
2,3.5,3.6667,3.5714,4.2,3.8
11,3.3333,3.6,4,3.6667,3.75
9,3.6,4,4,4,3.6667
33,3.8889,4.5714,4,4.6,3.6667
30,3.4,3.8,2.75,3.75,3
12,3.2,3.4,3.4,4,3
